ks "Alpha = 1e-09" "Alpha = 1e-08" "Alpha = 1e-07" "Alpha = 1e-06" "Alpha = 1e-05" "Alpha = 0.0001" "Alpha = 0.001" "Alpha = 0.01" "Alpha = 0.1" "Alpha = 0.2" "Alpha = 0.6" "Alpha = 0.9" "Alpha = 0.95" "Alpha = 0.99"
1 70.65 70.66666666666667 70.68333333333334 70.61666666666667 70.55 70.36666666666666 70.26666666666667 70.03333333333333 69.96666666666667 70.19999999999999 69.91666666666667 70.05 70.08333333333333 70.01666666666667
2 58.08333333333333 58.08333333333333 58.08333333333333 57.833333333333336 56.36666666666667 56.08333333333333 56.25 56.2 55.883333333333326 55.58333333333333 54.883333333333326 54.900000000000006 54.85 54.949999999999996
5 37.11666666666667 37.083333333333336 36.96666666666666 35.199999999999996 29.599999999999998 27.6 27.833333333333332 27.866666666666667 27.800000000000004 27.683333333333334 27.21666666666667 27.500000000000004 27.516666666666666 27.516666666666666
10 25.3 25.3 24.866666666666667 22.3 14.666666666666666 11.700000000000001 12.0 12.1 11.916666666666668 11.75 11.25 11.216666666666667 11.200000000000001 11.216666666666667
20 20.349999999999998 20.316666666666666 19.883333333333333 15.833333333333332 8.200000000000001 5.616666666666666 6.216666666666667 6.566666666666666 6.283333333333334 6.033333333333333 5.516666666666667 5.433333333333333 5.433333333333333 5.4
50 19.1 19.066666666666666 18.383333333333333 13.683333333333334 5.883333333333334 4.433333333333334 5.4 6.1 5.766666666666667 5.433333333333333 4.466666666666667 4.266666666666667 4.25 4.25
100 18.933333333333334 18.883333333333333 18.183333333333334 13.383333333333333 5.616666666666666 4.3999999999999995 5.4 6.866666666666667 6.533333333333332 6.05 4.983333333333333 4.8 4.733333333333333 4.6
150 18.95 18.916666666666668 18.083333333333336 13.3 5.616666666666666 4.3999999999999995 5.800000000000001 7.7 7.3999999999999995 6.783333333333333 5.766666666666667 5.5 5.433333333333333 5.416666666666667
200 18.95 18.9 18.033333333333335 13.266666666666666 5.616666666666666 4.416666666666667 6.033333333333333 8.15 8.15 7.35 6.266666666666667 6.116666666666667 6.133333333333333 6.2
500 18.933333333333334 18.85 18.033333333333335 13.25 5.65 4.466666666666667 6.483333333333334 10.116666666666667 11.816666666666666 11.766666666666667 12.216666666666667 13.5 13.850000000000001 14.7
