----------------------------------------        time        ----------------------------------------
talla     Cota1I     Cota1E     Cota4I     Cota4E     Cota5I     Cota5E     Cota6I     Cota6E     Cota7I     Cota7E
   10       0.01       0.01       0.01       0.01       0.01       0.01       0.09       0.09       0.03       0.03
   11       0.04       0.04       0.01       0.01       0.01       0.01       0.25       0.25       0.09       0.09
   12       0.07       0.07       0.01       0.02       0.01       0.01       0.46       0.46       0.15       0.15
   13       0.09       0.09       0.03       0.03       0.03       0.03       0.76       0.76       0.25       0.25
   14       0.22       0.22       0.05       0.05       0.04       0.04       1.81       1.80       0.52       0.52
   15       0.71       0.81       0.13       0.13       0.11       0.11       5.24       5.25       1.53       1.53
   16       2.38       2.91       0.36       0.36       0.23       0.22      15.25      15.38       4.20       4.19
   17       7.91       9.13       0.55       0.57       0.23       0.24      40.51      40.85       9.66       9.96
   18       8.60      11.01       0.48       0.49       0.25       0.25      42.57      42.90      12.52      12.54
   19      32.01      35.24       2.47       2.67       0.79       0.79     130.51     131.61      37.00      37.89
   20      77.04      87.79       2.61       3.11       1.02       1.04     268.96     271.84      74.36      76.73
----------------------------------------     iterations     ----------------------------------------
talla     Cota1I     Cota1E     Cota4I     Cota4E     Cota5I     Cota5E     Cota6I     Cota6E     Cota7I     Cota7E
   10    4460.10    4460.10     950.50     950.50     161.50     161.50    1782.40    1782.40    1517.70    1517.70
   11   11473.40   11473.40    1781.30    1781.30     290.10     290.10    5676.10    5676.10    4679.70    4679.70
   12   19234.10   19234.10    2674.60    2674.60     328.00     328.00    7856.50    7856.50    6646.30    6646.30
   13   28963.50   28963.50    6135.60    6135.60     944.70     944.70   15660.80   15660.80   12879.30   12879.30
   14   66056.00   66056.00    9809.60    9809.60     909.40     909.40   30462.70   30462.70   23432.90   23432.90
   15  191310.20  191310.20   22871.50   22871.50    2534.10    2534.10   93204.50   93204.50   69726.50   69726.50
   16  499601.80  499601.80   62460.00   62460.00    4655.40    4655.40  237221.40  237221.40  179071.10  179071.10
   17 1223194.50 1223194.50   92743.50   92743.50    4459.10    4459.10  543067.20  543067.20  364144.10  364144.10
   18 1306047.90 1306047.90   78878.00   78878.00    4242.60    4242.60  574198.30  574198.30  440137.90  440137.90
   19 3799510.40 3799510.40  334788.30  334788.30   13853.50   13853.50 1801097.90 1801097.90 1285972.40 1285972.40
   20 6932092.00 6932092.00  334417.80  334417.80   16600.40   16600.40 3243637.00 3243637.00 2377433.80 2377433.80
----------------------------------------     gen_states     ----------------------------------------
talla     Cota1I     Cota1E     Cota4I     Cota4E     Cota5I     Cota5E     Cota6I     Cota6E     Cota7I     Cota7E
   10    7138.00    7138.00    1836.70    1836.70     455.10     455.10    3635.60    3635.60    3245.30    3245.30
   11   18194.00   18194.00    3590.80    3590.80     776.20     776.20   10581.90   10581.90    9161.50    9161.50
   12   32629.60   32629.60    5162.20    5162.20     879.30     879.30   16183.50   16183.50   14380.00   14380.00
   13   41622.00   41622.00   10889.20   10889.20    2137.30    2137.30   25993.10   25993.10   22860.70   22860.70
   14  101358.40  101358.40   17143.40   17143.40    2291.50    2291.50   54973.70   54973.70   45914.40   45914.40
   15  285829.60  285829.60   41506.40   41506.40    6146.80    6146.80  160323.70  160323.70  131346.30  131346.30
   16  725693.60  725693.60  113354.30  113354.30   11899.30   11899.30  404785.80  404785.80  331287.60  331287.60
   17 1818781.30 1818781.30  169303.90  169303.90   11964.30   11964.30  940378.10  940378.10  687805.60  687805.60
   18 2103344.50 2103344.50  156355.20  156355.20   11900.90   11900.90 1053529.70 1053529.70  867090.70  867090.70
   19 5862702.00 5862702.00  609691.60  609691.60   35805.10   35805.10 3077875.30 3077875.30 2417388.00 2417388.00
   20 10859554.10 10859554.10  624039.70  624039.70   41794.50   41794.50 5582854.50 5582854.50 4379335.10 4379335.10
----------------------------------------     podas_opt      ----------------------------------------
talla     Cota1I     Cota1E     Cota4I     Cota4E     Cota5I     Cota5E     Cota6I     Cota6E     Cota7I     Cota7E
   10    2355.10    2355.10     776.90     776.90      43.80      43.80     687.90     687.90     721.00     721.00
   11    5801.00    5801.00    1164.30    1164.30      77.60      77.60    2429.00    2429.00    2448.00    2448.00
   12   12594.80   12594.80    1976.80    1976.80     208.30     208.30    5162.30    5162.30    4828.60    4828.60
   13   10825.20   10825.20    3003.80    3003.80     225.30     225.30    3249.40    3249.40    4508.00    4508.00
   14   32683.40   32683.40    4990.80    4990.80     415.20     415.20    5635.40    5635.40   10379.50   10379.50
   15   86287.00   86287.00   13878.20   13878.20    1143.50    1143.50   25434.20   25434.20   34877.70   34877.70
   16  198036.30  198036.30   37369.20   37369.20    1760.60    1760.60   27741.80   27741.80   72482.10   72482.10
   17  564805.10  564805.10   56240.20   56240.20    1276.30    1276.30   80904.10   80904.10  154836.10  154836.10
   18  765283.80  765283.80   60267.30   60267.30    1708.10    1708.10  208640.40  208640.40  234438.30  234438.30
   19 1940183.60 1940183.60  201226.50  201226.50    4396.10    4396.10  457337.60  457337.60  494487.90  494487.90
   20 3410387.90 3410387.90  168585.70  168585.70    9636.80    9636.80  598348.70  598348.70  927943.60  927943.60
----------------------------------------        maxA        ----------------------------------------
talla     Cota1I     Cota1E     Cota4I     Cota4E     Cota5I     Cota5E     Cota6I     Cota6E     Cota7I     Cota7E
   10    1763.00    1735.60     322.10     290.50     250.70     249.50    1359.80    1315.00    1128.00    1083.40
   11    4758.90    4733.60     929.60     888.60     417.90     417.90    3670.80    3624.30    2787.70    2729.80
   12    8109.30    7841.10    1136.90    1112.30     388.00     387.90    5213.40    5128.70    4215.70    4141.60
   13   10601.40   10534.90    3027.90    2980.80     971.90     965.80    8641.50    8344.80    6351.50    6230.80
   14   24813.80   24445.90    4379.30    4319.10    1018.40    1015.50   21502.40   21352.20   13430.10   13388.80
   15   69046.70   68694.60    9464.40    9177.20    2597.80    2595.80   54804.70   54343.60   33773.30   33589.20
   16  171281.60  170412.00   25418.00   24422.20    5600.90    5600.90  155229.20  154582.90   89337.10   89093.10
   17  432418.00  431733.50   41387.20   40699.60    6247.90    6247.90  344938.40  343765.10  178646.80  176352.70
   18  480231.20  474594.20   35308.70   34247.70    6094.30    6078.10  361019.30  359439.90  239925.20  239428.40
   19 1343711.70 1330425.60  154664.60  151929.30   17556.70   17556.70 1029857.40 1020304.50  667001.30  664754.70
   20 2679138.20 2663202.70  173306.10  164932.60   17476.60   17378.70 1953408.20 1932265.50 1160847.10 1142762.00
